epoch,accuracy,loss,val_accuracy,val_loss
0,0.7988184690475464,0.4307625889778137,0.8912310004234314,0.2991674542427063
1,0.879206657409668,0.30579066276550293,0.9123103022575378,0.29875144362449646
2,0.8929212093353271,0.2762461006641388,0.7976391315460205,0.5117547512054443
3,0.911594033241272,0.24196355044841766,0.9232714772224426,0.19867970049381256
4,0.9188733100891113,0.21327170729637146,0.9013490676879883,0.24128030240535736
5,0.9310053586959839,0.18905499577522278,0.9274873733520508,0.1912750005722046
6,0.937757134437561,0.16993218660354614,0.9342327117919922,0.17308072745800018
7,0.9453529119491577,0.1519315391778946,0.9502529501914978,0.14407455921173096
8,0.9483067989349365,0.1396998018026352,0.9426644444465637,0.17712199687957764
9,0.955797016620636,0.12430734187364578,0.9485666155815125,0.14577941596508026
10,0.9527376294136047,0.12649108469486237,0.9502529501914978,0.1490883231163025
11,0.9630762934684753,0.10044468939304352,0.9435076117515564,0.19948889315128326
12,0.9702500104904175,0.07833045721054077,0.9662731885910034,0.16741520166397095
13,0.9716214537620544,0.08168759196996689,0.9662731885910034,0.11795010417699814
14,0.9789007306098938,0.06043968349695206,0.9578414559364319,0.10741473734378815
15,0.9801666736602783,0.06201275438070297,0.941821277141571,0.24357955157756805
16,0.9809051752090454,0.05499749258160591,0.9561551213264465,0.18320053815841675
17,0.9800611734390259,0.05483746901154518,0.9645868539810181,0.13918009400367737
18,0.9830150604248047,0.050493430346250534,0.9688026905059814,0.13517479598522186
19,0.9813271164894104,0.05190468207001686,0.9629005193710327,0.17946836352348328
20,0.9873404502868652,0.03853568062186241,0.9730185270309448,0.09339600801467896
21,0.9862854480743408,0.04249745234847069,0.9713321924209595,0.11678951978683472
22,0.9869184494018555,0.0366399809718132,0.9721753597259521,0.10293268412351608
23,0.985652506351471,0.040436942130327225,0.9755480885505676,0.09651753306388855
24,0.9907163381576538,0.0294085294008255,0.9738616943359375,0.13829252123832703
25,0.9888173937797546,0.033414606004953384,0.977234423160553,0.0987013652920723
26,0.9872349500656128,0.038987625390291214,0.9629005193710327,0.14424267411231995
27,0.9845975041389465,0.04275314509868622,0.9553119540214539,0.15463769435882568
28,0.9907163381576538,0.02590811997652054,0.9839797616004944,0.07355871051549911
29,0.9889228940010071,0.032877322286367416,0.9578414559364319,0.21217070519924164
30,0.9908218383789062,0.02608160302042961,0.9780775904655457,0.09882146865129471
31,0.990294337272644,0.02543659321963787,0.9747048616409302,0.12726211547851562
32,0.9897668361663818,0.03130722790956497,0.9890387654304504,0.05931241065263748
33,0.9931427240371704,0.021484440192580223,0.9873524308204651,0.049697697162628174
34,0.9937757253646851,0.01753651350736618,0.9806070923805237,0.07758865505456924
35,0.9887118935585022,0.0310702845454216,0.9789207577705383,0.11465990543365479
36,0.9919822812080383,0.022256726399064064,0.9856660962104797,0.033888768404722214
37,0.9918767809867859,0.024486428126692772,0.979763925075531,0.07099346816539764
38,0.9894503355026245,0.03404054418206215,0.9696458578109741,0.1394815295934677
39,0.993037223815918,0.023832643404603004,0.9747048616409302,0.16792748868465424
40,0.9899778366088867,0.03084714710712433,0.9468802809715271,0.21036620438098907
41,0.9932482242584229,0.01903611794114113,0.9553119540214539,0.2746005952358246
42,0.9941977262496948,0.016017276793718338,0.9738616943359375,0.131580650806427
43,0.9939867258071899,0.02097948081791401,0.982293426990509,0.06520314514636993
44,0.9919822812080383,0.023556282743811607,0.9696458578109741,0.09864048659801483
